"","gene_id","age","probe_id"
"203","AT1G03720","MC","264825_at"
"204","AT1G03730","MC","264834_at"
"205","AT1G03750","UC","265088_at"
"206","AT1G03770","MC","265086_at"
"207","AT1G03780","MC","265085_at"
"208","AT1G03790","MC","265084_at"
"209","AT1G03820","MC","265083_at"
"210","AT1G03840","MC","265081_at"
"211","AT1G03850","MC","265067_at"
"212","AT1G03860","UC","265037_at"
"213","AT1G03870","MC","265066_at"
"214","AT1G03880","MC","265095_at"
"215","AT1G03890","MC","265094_at"
"216","AT1G03910","UC","265092_at"
"217","AT1G03920","UC","265038_at"
"218","AT1G03950","UC","265044_at"
"219","AT1G03960","UC","265090_at"
"220","AT1G03970","MC","265040_at"
"221","AT1G03980","MC","265065_at"
"222","AT1G03990","UC","265099_at"
"223","AT1G04000","MC","265039_at"
"224","AT1G04010","UC","265098_at"
"225","AT1G04020","UC","265097_at"
"226","AT1G04030","MC","265096_at"
"227","AT1G04040","MC","265042_at"
"228","AT1G04050","MC","257404_at"
"229","AT1G04050","MC","265089_at"
"230","AT1G04070","MC","265041_at"
"231","AT1G04100","MC","264328_at"
"232","AT1G04110","UC","264319_at"
"233","AT1G04120","UC","264330_at"
"234","AT1G04130","UC","264331_at"
"235","AT1G04140","UC","264329_at"
"236","AT1G04160","UC","264324_at"
"237","AT1G04170","UC","264327_at"
"238","AT1G04180","UC","264323_at"
"239","AT1G04200","UC","264321_at"
"240","AT1G04220","UC","264318_at"
"241","AT1G04230","MC","264326_at"
"242","AT1G04240","MC","263656_at"
"243","AT1G04250","MC","263664_at"
"244","AT1G04260","MC","263660_at"
"245","AT1G04270","UC","263667_at"
"246","AT1G04290","UC","263661_at"
"247","AT1G04300","MC","263654_at"
"248","AT1G04310","MC","263653_at"
"249","AT1G04330","MC","263652_at"
"250","AT1G04340","MC","263651_at"
"251","AT1G04350","MC","263668_at"
"252","AT1G04360","MC","263650_at"
"253","AT1G04380","MC","263649_at"
"254","AT1G04390","MC","263648_at"
"255","AT1G04400","UC","263669_at"
"256","AT1G04410","UC","263663_at"
"257","AT1G04420","UC","263678_at"
"258","AT1G04430","MC","263662_at"
"259","AT1G04440","MC","263657_at"
"260","AT1G04480","UC","263665_at"
"261","AT1G04490","MC","263658_at"
"262","AT1G04500","MC","263655_at"
"263","AT1G04510","UC","263666_at"
"264","AT1G04520","MC","263677_at"
"265","AT1G04530","MC","264609_at"
"266","AT1G04540","MC","264601_at"
"267","AT1G04550","MC","264605_at"
"268","AT1G04560","MC","264612_at"
"269","AT1G04590","MC","264615_at"
"270","AT1G04600","UC","264599_at"
"271","AT1G04610","UC","264598_at"
"272","AT1G04620","UC","264597_at"
"273","AT1G04640","UC","264613_at"
"274","AT1G04645","MC","264610_at"
"275","AT1G04650","MC","264604_at"
"276","AT1G04660","MC","264606_at"
"277","AT1G04670","MC","264603_at"
"278","AT1G04680","MC","264611_at"
"279","AT1G04690","UC","264607_at"
"280","AT1G04700","MC","264602_at"
"281","AT1G04710","UC","264608_at"
"282","AT1G04730","UC","264600_at"
"283","AT1G04750","UC","264595_at"
"284","AT1G04760","UC","261178_at"
"285","AT1G04770","MC","261177_at"
"286","AT1G04780","UC","261176_at"
"287","AT1G04790","MC","261127_at"
"288","AT1G04800","MC","261175_at"
"289","AT1G04810","UC","261174_at"
"290","AT1G04820","UC","261129_at"
"291","AT1G04830","UC","261173_at"
"292","AT1G04840","MC","261172_at"
"293","AT1G04850","UC","261153_at"
"294","AT1G04860","UC","261128_at"
"295","AT1G04870","UC","261130_at"
"296","AT1G04880","MC","261171_at"
"297","AT1G04900","UC","261124_at"
"298","AT1G04910","MC","261170_at"
"299","AT1G04920","MC","261169_at"
"300","AT1G04930","MC","261152_at"
"301","AT1G04945","MC","261168_at"
"302","AT1G04950","UC","261126_at"
"303","AT1G04960","MC","261155_at"
"304","AT1G04970","UC","261154_at"
"305","AT1G04980","UC","261167_at"
"306","AT1G04985","MC","261179_at"
"307","AT1G04990","MC","261125_at"
"308","AT1G05000","UC","265214_at"
"309","AT1G05010","MC","265194_at"
"310","AT1G05020","MC","265213_at"
"311","AT1G05030","UC","265212_at"
"312","AT1G05040","MC","265215_at"
"313","AT1G05055","UC","265218_at"
"314","AT1G05060","MC","265192_at"
"315","AT1G05070","MC","265193_at"
"316","AT1G05100","MC","265216_at"
"317","AT1G05120","UC","265191_at"
"318","AT1G05140","UC","264584_at"
"319","AT1G05150","MC","264568_at"
"320","AT1G05160","UC","264586_at"
"321","AT1G05170","UC","264583_at"
"322","AT1G05180","UC","264585_at"
"323","AT1G05190","UC","264575_at"
"324","AT1G05200","MC","264587_at"
"325","AT1G05205","MC","264579_at"
"326","AT1G05210","UC","264581_at"
"327","AT1G05260","MC","264577_at"
"328","AT1G05270","UC","264566_at"
"329","AT1G05280","MC","264565_at"
"330","AT1G05290","MC","264564_at"
"331","AT1G05300","UC","264574_at"
"332","AT1G05310","MC","264573_at"
"333","AT1G05330","MC","264571_at"
"334","AT1G05340","MC","264580_at"
"335","AT1G05350","UC","264570_at"
"336","AT1G05360","UC","264576_at"
"337","AT1G05370","MC","264578_at"
"338","AT1G05380","MC","261383_at"
"339","AT1G05385","MC","261388_at"
"340","AT1G05410","MC","261387_at"
"341","AT1G05430","MC","261386_at"
"342","AT1G05440","MC","261384_at"
"343","AT1G05450","MC","261385_at"
"344","AT1G05470","MC","261382_at"
"345","AT1G05490","MC","263203_at"
"346","AT1G05490","MC","263204_at"
"347","AT1G05500","UC","263205_at"
"348","AT1G05510","UC","263175_at"
"349","AT1G05520","UC","263185_at"
"350","AT1G05530","MC","263176_at"
"351","AT1G05540","MC","263177_at"
"352","AT1G05550","MC","263178_at"
"353","AT1G05560","MC","263184_at"
"354","AT1G05570","UC","263183_at"
"355","AT1G05575","MC","263182_at"
"356","AT1G05577","MC","263233_at"
"357","AT1G05590","UC","263199_at"
"358","AT1G05600","MC","263200_at"
"359","AT1G05610","MC","263201_at"
"360","AT1G05620","UC","263180_at"
"361","AT1G05630","MC","263202_at"
"362","AT1G05680","MC","263231_at"
"363","AT1G05690","MC","257451_at"
"364","AT1G05710","MC","263179_at"
"365","AT1G05740","MC","257452_at"
"366","AT1G05750","MC","261310_at"
"367","AT1G05760","MC","261256_at"
"368","AT1G05770","MC","261311_at"
"369","AT1G05790","MC","261312_at"
"370","AT1G05800","MC","261278_at"
"371","AT1G05805","MC","261254_at"
"372","AT1G05810","UC","261252_at"
"373","AT1G05840","UC","261253_at"
"374","AT1G05850","MC","261279_at"
"375","AT1G05860","MC","261280_at"
"376","AT1G05880","UC","261249_at"
"377","AT1G05890","UC","261250_at"
"378","AT1G05900","UC","261255_at"
"379","AT1G05910","MC","261257_at"
"380","AT1G05920","MC","261251_at"
"381","AT1G05940","UC","260927_at"
"382","AT1G05990","MC","260960_at"
"383","AT1G06000","MC","260955_at"
"384","AT1G06010","MC","260946_at"
"385","AT1G06020","UC","260947_at"
"386","AT1G06040","MC","260956_at"
"387","AT1G06050","MC","260959_at"
"388","AT1G06060","UC","260958_at"
"389","AT1G06070","MC","260953_at"
"390","AT1G06080","UC","260957_at"
"391","AT1G06100","UC","260948_at"
"392","AT1G06110","UC","260949_at"
"393","AT1G06130","UC","260954_at"
"394","AT1G06140","MC","260952_at"
"395","AT1G06160","MC","260783_at"
"396","AT1G06170","MC","257491_at"
"397","AT1G06180","MC","260784_at"
"398","AT1G06190","MC","260793_at"
"399","AT1G06200","MC","260785_at"
"400","AT1G06210","MC","260794_at"
"401","AT1G06225","MC","260795_at"
"402","AT1G06230","MC","260787_at"
"403","AT1G06240","UC","260790_at"
"404","AT1G06250","MC","260791_at"
"405","AT1G06260","UC","260788_at"
"406","AT1G06270","MC","260792_at"
"407","AT1G06310","UC","259419_at"
"408","AT1G06320","MC","259389_at"
"409","AT1G06340","MC","259390_at"
"410","AT1G06380","UC","259392_at"
"411","AT1G06390","UC","259396_at"
"412","AT1G06400","UC","259395_at"
"413","AT1G06410","UC","259393_at"
"414","AT1G06420","MC","259394_at"
"415","AT1G06430","UC","262626_at"
"416","AT1G06440","MC","262625_at"
"417","AT1G06450","MC","262624_at"
"418","AT1G06460","MC","262629_at"
"419","AT1G06470","UC","262623_at"
"420","AT1G06490","UC","262628_at"
"421","AT1G06500","MC","262631_at"
"422","AT1G06510","MC","262622_at"
"423","AT1G06520","MC","262630_at"
"424","AT1G06540","MC","262620_at"
"425","AT1G06550","UC","262619_at"
"426","AT1G06560","UC","262618_at"
"427","AT1G06570","UC","262635_at"
"428","AT1G06580","MC","262627_at"
"429","AT1G06590","UC","262617_at"
"430","AT1G06620","MC","262616_at"
"431","AT1G06640","MC","262637_at"
"432","AT1G06650","MC","262638_at"
"433","AT1G06670","MC","262636_at"
"434","AT1G06680","UC","262632_at"
"435","AT1G06690","UC","262634_at"
"436","AT1G06700","MC","260835_at"
"437","AT1G06710","MC","260826_at"
"438","AT1G06720","UC","260824_at"
"439","AT1G06730","UC","260834_at"
"440","AT1G06750","MC","260828_at"
"441","AT1G06760","UC","260830_at"
"442","AT1G06770","MC","260823_at"
"443","AT1G06780","MC","260832_at"
"444","AT1G06790","UC","260822_at"
"445","AT1G06800","MC","260833_at"
"446","AT1G06820","UC","260821_at"
"447","AT1G06830","MC","260831_at"
"448","AT1G06840","MC","260820_at"
"449","AT1G06850","MC","260819_at"
"450","AT1G06890","UC","260818_at"
"451","AT1G06900","UC","260817_at"
"452","AT1G06930","MC","260816_at"
"453","AT1G06950","UC","260815_at"
"454","AT1G06960","UC","256052_at"
"455","AT1G06970","MC","256051_at"
"456","AT1G06980","MC","256066_at"
"457","AT1G06990","MC","256059_at"
"458","AT1G07000","MC","256050_at"
"459","AT1G07010","UC","256049_at"
"460","AT1G07020","MC","256064_at"
"461","AT1G07030","UC","256055_at"
"462","AT1G07040","UC","256061_at"
"463","AT1G07050","MC","256060_at"
"464","AT1G07060","MC","256047_at"
"465","AT1G07070","UC","256065_at"
"466","AT1G07080","UC","256034_at"
"467","AT1G07090","MC","256062_at"
"468","AT1G07110","MC","256036_at"
"469","AT1G07120","MC","256054_at"
"470","AT1G07130","UC","256063_at"
"471","AT1G07150","MC","256045_at"
"472","AT1G07160","MC","256044_at"
"473","AT1G07170","UC","256067_at"
"474","AT1G07180","UC","256057_at"
"475","AT1G07210","MC","256043_at"
"476","AT1G07220","MC","256042_at"
"477","AT1G07230","UC","256041_at"
"478","AT1G07240","MC","256058_at"
"479","AT1G07250","MC","256033_at"
"480","AT1G07260","MC","256053_at"
"481","AT1G07270","UC","256040_at"
"482","AT1G07280","MC","261075_at"
"483","AT1G07290","UC","261074_at"
"484","AT1G07300","MC","261073_at"
"485","AT1G07310","MC","261083_at"
"486","AT1G07320","UC","261078_at"
"487","AT1G07330","MC","257489_at"
"488","AT1G07340","UC","261072_at"
"489","AT1G07350","MC","261081_at"
"490","AT1G07360","UC","261082_at"
"491","AT1G07370","UC","261080_at"
"492","AT1G07380","UC","261071_at"
"493","AT1G07390","MC","261070_at"
"494","AT1G07410","UC","261069_at"
"495","AT1G07420","UC","261076_at"
"496","AT1G07430","MC","261077_at"
"497","AT1G07440","UC","261084_at"
"498","AT1G07450","UC","261068_at"
"499","AT1G07460","MC","261067_at"
"500","AT1G07485","MC","261066_at"
"501","AT1G07500","MC","261065_at"
"502","AT1G07510","UC","261064_at"
"503","AT1G07540","MC","261061_at"
"504","AT1G07570","MC","261089_at"
"505","AT1G07590","MC","261088_at"
"506","AT1G07630","MC","261413_at"
"507","AT1G07640","MC","261409_at"
"508","AT1G07650","MC","261434_at"
"509","AT1G07680","MC","261432_at"
"510","AT1G07690","MC","261466_at"
"511","AT1G07700","MC","261417_at"
"512","AT1G07705","MC","261465_at"
"513","AT1G07720","MC","261420_at"
"514","AT1G07740","MC","261463_at"
"515","AT1G07750","MC","261415_at"
"516","AT1G07770","UC","261416_at"
"517","AT1G07790","UC","261411_at"
"518","AT1G07795","MC","261414_at"
"519","AT1G07830","MC","261418_at"
"520","AT1G07840","UC","261419_at"
"521","AT1G07850","MC","261462_at"
"522","AT1G07870","MC","261436_at"
"523","AT1G07880","UC","261460_at"
"524","AT1G07890","UC","261412_at"
"525","AT1G07910","UC","260677_at"
"526","AT1G07960","UC","257495_at"
"527","AT1G07970","MC","260678_at"
"528","AT1G07980","MC","260622_at"
"529","AT1G07990","UC","260679_at"
"530","AT1G08030","MC","260647_at"
"531","AT1G08040","MC","260626_at"
"532","AT1G08060","MC","260625_at"
"533","AT1G08065","UC","260621_at"
"534","AT1G08070","UC","260620_at"
"535","AT1G08080","UC","260649_at"
"536","AT1G08090","UC","260623_at"
"537","AT1G08100","UC","260624_at"
"538","AT1G08110","UC","260619_at"
"539","AT1G08130","UC","261810_at"
"540","AT1G08135","MC","261816_at"
"541","AT1G08170","MC","261755_at"
"542","AT1G08180","MC","261817_at"
"543","AT1G08190","UC","261783_at"
"544","AT1G08210","UC","261757_at"
"545","AT1G08220","UC","261784_at"
"546","AT1G08230","UC","261785_at"
"547","AT1G08280","MC","261813_at"
"548","AT1G08310","MC","261814_at"
"549","AT1G08340","UC","261809_at"
"550","AT1G08350","UC","261747_at"
"551","AT1G08360","UC","261694_at"
"552","AT1G08370","UC","261693_at"
"553","AT1G08380","MC","261746_at"
"554","AT1G08390","MC","261742_at"
"555","AT1G08410","UC","245227_s_at"
"556","AT1G08430","MC","257481_at"
"557","AT1G08450","UC","261692_at"
"558","AT1G08460","UC","261720_at"
"559","AT1G08470","UC","261696_at"
"560","AT1G08480","MC","261721_at"
"561","AT1G08490","UC","261744_at"
"562","AT1G08500","MC","261745_at"
"563","AT1G08510","MC","261722_at"
"564","AT1G08520","UC","261695_at"
"565","AT1G08540","MC","264781_at"
"566","AT1G08550","MC","264799_at"
"567","AT1G08560","UC","264802_at"
"568","AT1G08570","MC","264779_at"
"569","AT1G08580","MC","264803_at"
"570","AT1G08590","MC","264804_at"
"571","AT1G08600","MC","264805_at"
"572","AT1G08610","MC","264806_at"
"573","AT1G08620","MC","264792_at"
"574","AT1G08630","UC","264777_at"
"575","AT1G08640","MC","264811_at"
"576","AT1G08650","UC","264783_at"
"577","AT1G08660","MC","264793_at"
"578","AT1G08670","MC","264794_at"
"579","AT1G08680","MC","264795_at"
"580","AT1G08680","MC","264796_at"
"581","AT1G08700","UC","264807_at"
"582","AT1G08710","MC","264797_at"
"583","AT1G08750","UC","264810_at"
"584","AT1G08770","MC","264808_at"
"585","AT1G08780","UC","264778_at"
"586","AT1G08800","MC","264800_at"
"587","AT1G08810","MC","264782_at"
"588","AT1G08830","UC","264809_at"
"589","AT1G08860","UC","264646_at"
"590","AT1G08880","UC","264651_at"
"591","AT1G08920","UC","264652_at"
"592","AT1G08930","UC","264624_at"
"593","AT1G08940","UC","264645_at"
"594","AT1G08960","UC","264644_at"
"595","AT1G08970","MC","264650_at"
"596","AT1G08980","UC","264653_at"
"597","AT1G08990","MC","264643_at"
"598","AT1G09000","MC","264623_at"
"599","AT1G09010","UC","264656_at"
"600","AT1G09020","UC","264625_at"
"601","AT1G09030","MC","264642_at"
"602","AT1G09060","MC","264649_at"
"603","AT1G09070","MC","264655_at"
"604","AT1G09080","UC","264648_at"
"605","AT1G09090","UC","264647_at"
"606","AT1G09100","UC","264657_at"
"607","AT1G09130","UC","264641_at"
"608","AT1G09140","UC","264255_at"
"609","AT1G09150","UC","264254_at"
"610","AT1G09155","MC","264263_at"
"611","AT1G09160","MC","264266_at"
"612","AT1G09170","MC","264253_at"
"613","AT1G09180","UC","264252_at"
"614","AT1G09200","UC","264262_at"
"615","AT1G09210","UC","264260_at"
"616","AT1G09220","MC","264258_at"
"617","AT1G09230","UC","264257_at"
"618","AT1G09240","UC","264261_at"
"619","AT1G09250","MC","264264_at"
"620","AT1G09270","UC","264256_at"
"621","AT1G09280","MC","264265_at"
"622","AT1G09290","MC","264259_at"
"623","AT1G09300","UC","263707_at"
"624","AT1G09310","MC","263709_at"
"625","AT1G09320","MC","263708_at"
"626","AT1G09330","UC","263710_at"
"627","AT1G09340","UC","263676_at"
"628","AT1G09350","UC","264511_at"
"629","AT1G09360","MC","264555_at"
"630","AT1G09370","MC","264500_at"
"631","AT1G09380","MC","264505_at"
"632","AT1G09390","MC","264501_at"
"633","AT1G09400","UC","264502_at"
"634","AT1G09410","MC","264503_at"
"635","AT1G09415","MC","264507_at"
"636","AT1G09420","MC","264513_at"
"637","AT1G09430","UC","264504_at"
"638","AT1G09440","MC","264549_at"
"639","AT1G09450","MC","264550_at"
"640","AT1G09460","MC","264551_at"
"641","AT1G09500","UC","264514_at"
"642","AT1G09510","UC","264554_at"
"643","AT1G09520","MC","264509_at"
"644","AT1G09530","MC","264510_at"
"645","AT1G09550","UC","264557_at"
"646","AT1G09560","MC","264506_at"
"647","AT1G09570","UC","264508_at"
"648","AT1G09575","MC","264512_at"
