"","gene_id","age","probe_id"
"2299","AT1G34320","MC","262565_at"
"2300","AT1G34340","MC","262561_at"
"2301","AT1G34350","UC","259933_at"
"2302","AT1G34355","MC","259930_at"
"2303","AT1G34370","MC","259932_at"
"2304","AT1G34380","MC","259928_at"
"2305","AT1G34410","MC","261163_x_at"
"2306","AT1G34420","MC","261161_at"
"2307","AT1G34430","UC","261165_at"
"2308","AT1G34470","UC","261164_at"
"2309","AT1G34540","UC","261185_at"
"2310","AT1G34550","MC","261183_at"
"2311","AT1G34575","MC","261182_at"
"2312","AT1G34580","MC","261181_at"
"2313","AT1G34630","UC","262407_at"
"2314","AT1G34640","MC","262411_at"
"2315","AT1G34670","MC","262406_at"
"2316","AT1G34750","UC","262408_at"
"2317","AT1G34760","UC","262412_at"
"2318","AT1G34770","UC","262410_at"
"2319","AT1G34780","MC","262413_at"
"2320","AT1G35140","MC","245757_at"
"2321","AT1G35183","MC","245754_at"
"2322","AT1G35190","UC","245756_at"
"2323","AT1G35210","MC","245755_at"
"2324","AT1G35220","UC","259600_at"
"2325","AT1G35230","MC","259550_at"
"2326","AT1G35250","MC","257512_at"
"2327","AT1G35260","MC","259548_at"
"2328","AT1G35290","MC","259549_at"
"2329","AT1G35310","MC","259574_at"
"2330","AT1G35330","MC","259576_at"
"2331","AT1G35340","MC","259577_at"
"2332","AT1G35410","MC","260104_x_at"
"2333","AT1G35420","MC","260106_at"
"2334","AT1G35430","MC","260103_at"
"2335","AT1G35470","UC","260102_at"
"2336","AT1G35490","MC","262022_at"
"2337","AT1G35510","MC","262025_at"
"2338","AT1G35515","MC","262027_at"
"2339","AT1G35530","MC","262036_at"
"2340","AT1G35560","MC","262028_at"
"2341","AT1G35580","UC","262038_at"
"2342","AT1G35620","UC","262024_at"
"2343","AT1G35660","MC","262014_at"
"2344","AT1G35670","UC","262026_at"
"2345","AT1G35680","MC","262029_at"
"2346","AT1G35710","MC","261339_at"
"2347","AT1G35720","UC","261285_at"
"2348","AT1G35730","MC","261340_at"
"2349","AT1G35750","MC","261282_at"
"2350","AT1G35780","MC","261286_at"
"2351","AT1G35820","MC","256312_x_at"
"2352","AT1G35890","MC","256316_at"
"2353","AT1G35910","UC","256319_at"
"2354","AT1G36000","MC","260187_at"
"2355","AT1G36030","MC","260185_at"
"2356","AT1G36050","UC","263193_at"
"2357","AT1G36060","MC","263194_at"
"2358","AT1G36070","UC","263196_at"
"2359","AT1G36095","MC","263188_at"
"2360","AT1G36150","MC","263195_at"
"2361","AT1G36160","UC","263192_at"
"2362","AT1G36180","UC","256459_at"
"2363","AT1G36230","MC","256462_at"
"2364","AT1G36240","UC","256460_at"
"2365","AT1G36310","MC","260128_at"
"2366","AT1G36320","UC","260127_at"
"2367","AT1G36340","UC","260124_at"
"2368","AT1G36370","MC","260126_at"
"2369","AT1G36380","MC","260129_at"
"2370","AT1G36390","MC","260125_at"
"2371","AT1G36640","MC","256499_at"
"2372","AT1G36940","MC","261292_at"
"2373","AT1G36980","UC","261293_at"
"2374","AT1G36990","MC","261290_at"
"2375","AT1G37000","MC","261289_at"
"2376","AT1G37130","UC","261979_at"
"2377","AT1G37140","MC","262033_at"
"2378","AT1G37150","UC","262032_at"
"2379","AT1G41830","MC","261363_at"
"2380","AT1G42440","UC","262272_at"
"2381","AT1G42470","UC","262264_at"
"2382","AT1G42480","UC","256543_at"
"2383","AT1G42540","MC","256541_at"
"2384","AT1G42550","MC","256542_at"
"2385","AT1G42560","UC","256544_at"
"2386","AT1G42700","MC","259623_at"
"2387","AT1G42960","MC","259627_at"
"2388","AT1G42970","UC","259625_at"
"2389","AT1G42990","MC","259626_at"
"2390","AT1G43000","MC","257511_at"
"2391","AT1G43020","MC","259624_at"
"2392","AT1G43040","MC","255754_at"
"2393","AT1G43130","UC","264422_at"
"2394","AT1G43140","UC","264416_at"
"2395","AT1G43170","UC","264421_at"
"2396","AT1G43190","UC","264418_at"
"2397","AT1G43560","UC","262721_at"
"2398","AT1G43580","MC","262725_at"
"2399","AT1G43620","UC","262722_at"
"2400","AT1G43630","MC","262723_at"
"2401","AT1G43640","MC","262726_at"
"2402","AT1G43650","MC","260812_at"
"2403","AT1G43670","UC","260837_at"
"2404","AT1G43690","MC","260839_at"
"2405","AT1G43700","MC","260813_at"
"2406","AT1G43710","UC","260814_at"
"2407","AT1G43770","MC","260858_at"
"2408","AT1G43780","UC","260859_at"
"2409","AT1G43790","MC","260867_at"
"2410","AT1G43800","UC","260869_at"
"2411","AT1G43810","MC","260860_at"
"2412","AT1G43850","MC","260862_at"
"2413","AT1G43860","UC","260868_at"
"2414","AT1G43890","UC","260870_at"
"2415","AT1G43900","UC","259506_at"
"2416","AT1G43980","MC","259483_at"
"2417","AT1G44000","MC","259460_at"
"2418","AT1G44090","MC","259453_at"
"2419","AT1G44100","UC","245740_at"
"2420","AT1G44110","MC","245739_at"
"2421","AT1G44120","UC","245741_at"
"2422","AT1G44130","MC","245738_at"
"2423","AT1G44160","MC","245737_at"
"2424","AT1G44170","UC","245742_at"
"2425","AT1G44224","MC","245246_at"
"2426","AT1G44318","UC","245245_at"
"2427","AT1G44350","UC","245244_at"
"2428","AT1G44414","MC","245243_at"
"2429","AT1G44446","MC","245242_at"
"2430","AT1G44575","UC","245213_at"
"2431","AT1G44750","MC","261322_at"
"2432","AT1G44760","MC","261323_at"
"2433","AT1G44770","MC","261324_at"
"2434","AT1G44780","MC","261325_at"
"2435","AT1G44790","UC","261336_at"
"2436","AT1G44800","MC","261335_at"
"2437","AT1G44810","MC","261337_at"
"2438","AT1G44830","MC","261327_at"
"2439","AT1G44900","UC","261330_at"
"2440","AT1G44910","UC","261333_at"
"2441","AT1G44920","MC","261338_at"
"2442","AT1G44960","MC","261334_at"
"2443","AT1G44970","MC","260941_at"
"2444","AT1G45000","UC","260940_at"
"2445","AT1G45100","MC","260934_at"
"2446","AT1G45110","UC","260935_at"
"2447","AT1G45130","UC","260944_at"
"2448","AT1G45145","MC","260943_at"
"2449","AT1G45150","MC","260936_at"
"2450","AT1G45160","MC","260937_at"
"2451","AT1G45170","MC","260938_at"
"2452","AT1G45180","MC","260939_at"
"2453","AT1G45230","MC","245797_at"
"2454","AT1G45474","UC","245806_at"
"2455","AT1G45545","MC","245798_at"
"2456","AT1G45688","MC","245780_at"
"2457","AT1G45976","MC","245781_at"
"2458","AT1G46264","MC","245800_at"
"2459","AT1G46768","MC","245807_at"
"2460","AT1G46840","MC","245802_at"
"2461","AT1G47128","UC","245803_at"
"2462","AT1G47200","MC","260507_at"
"2463","AT1G47210","UC","260506_at"
"2464","AT1G47220","UC","260504_at"
"2465","AT1G47230","UC","260505_at"
"2466","AT1G47240","UC","260509_at"
"2467","AT1G47250","UC","260503_at"
"2468","AT1G47260","UC","260508_at"
"2469","AT1G47270","MC","260502_at"
"2470","AT1G47280","MC","261687_at"
"2471","AT1G47290","UC","261685_at"
"2472","AT1G47300","MC","261683_at"
"2473","AT1G47310","MC","261686_at"
"2474","AT1G47330","UC","261682_at"
"2475","AT1G47340","MC","261681_at"
"2476","AT1G47380","MC","261688_at"
"2477","AT1G47400","MC","261684_at"
"2478","AT1G47410","MC","262438_at"
"2479","AT1G47420","MC","262442_at"
"2480","AT1G47470","MC","257468_at"
"2481","AT1G47480","MC","262444_at"
"2482","AT1G47485","MC","262445_at"
"2483","AT1G47530","UC","262432_at"
"2484","AT1G47540","MC","262431_at"
"2485","AT1G47570","UC","262428_at"
"2486","AT1G47620","MC","262435_at"
"2487","AT1G47640","UC","262426_s_at"
"2488","AT1G47655","MC","262443_at"
"2489","AT1G47670","MC","262434_at"
"2490","AT1G47710","UC","262440_at"
"2491","AT1G47720","MC","262441_at"
"2492","AT1G47730","MC","262439_at"
"2493","AT1G47740","MC","261740_at"
"2494","AT1G47750","UC","261739_at"
"2495","AT1G47765","MC","261735_at"
"2496","AT1G47790","MC","261734_at"
"2497","AT1G47810","MC","261736_at"
"2498","AT1G47830","UC","261733_at"
"2499","AT1G47840","UC","261729_s_at"
"2500","AT1G47870","MC","261741_at"
"2501","AT1G47900","MC","259806_at"
"2502","AT1G47960","MC","259616_at"
"2503","AT1G47970","MC","259617_at"
"2504","AT1G47980","UC","259615_at"
"2505","AT1G47990","MC","259614_at"
"2506","AT1G48000","MC","259618_at"
"2507","AT1G48010","MC","259613_at"
"2508","AT1G48030","UC","260730_at"
"2509","AT1G48040","MC","260722_at"
"2510","AT1G48050","UC","260729_at"
"2511","AT1G48060","MC","260721_at"
"2512","AT1G48070","MC","260723_at"
"2513","AT1G48090","UC","260719_at"
"2514","AT1G48100","MC","260727_at"
"2515","AT1G48110","MC","260718_at"
"2516","AT1G48130","UC","260716_at"
"2517","AT1G48140","MC","260724_at"
"2518","AT1G48160","UC","260726_at"
"2519","AT1G48170","UC","260725_at"
"2520","AT1G48180","MC","257493_at"
"2521","AT1G48200","MC","260715_at"
"2522","AT1G48230","UC","262239_at"
"2523","AT1G48240","UC","262245_at"
"2524","AT1G48260","MC","262244_at"
"2525","AT1G48270","UC","262234_at"
"2526","AT1G48280","MC","262250_at"
"2527","AT1G48300","MC","262238_at"
"2528","AT1G48310","UC","262233_at"
"2529","AT1G48320","MC","262237_at"
"2530","AT1G48330","MC","262236_at"
"2531","AT1G48350","UC","262235_at"
"2532","AT1G48360","UC","262242_at"
"2533","AT1G48370","UC","262248_at"
"2534","AT1G48380","UC","262249_at"
"2535","AT1G48410","UC","262246_at"
"2536","AT1G48420","UC","262247_at"
"2537","AT1G48430","UC","261294_at"
"2538","AT1G48440","MC","261304_at"
"2539","AT1G48450","UC","261295_at"
"2540","AT1G48460","MC","261296_at"
"2541","AT1G48470","UC","261305_at"
"2542","AT1G48480","MC","261308_at"
"2543","AT1G48510","UC","261298_at"
"2544","AT1G48550","UC","261299_at"
"2545","AT1G48560","MC","261300_at"
"2546","AT1G48570","MC","261301_at"
"2547","AT1G48580","MC","261302_at"
"2548","AT1G48620","MC","261303_at"
"2549","AT1G48630","UC","256144_at"
"2550","AT1G48650","UC","256140_at"
"2551","AT1G48660","UC","256139_at"
"2552","AT1G48760","MC","256146_at"
"2553","AT1G48780","MC","256165_at"
"2554","AT1G48790","MC","256142_at"
"2555","AT1G48800","MC","256164_at"
"2556","AT1G48820","MC","256163_at"
"2557","AT1G48830","UC","256143_at"
"2558","AT1G48840","MC","245831_at"
"2559","AT1G48850","UC","245832_at"
"2560","AT1G48870","MC","246626_at"
"2561","AT1G48880","MC","246625_at"
"2562","AT1G48900","UC","246628_at"
"2563","AT1G48910","UC","246624_at"
"2564","AT1G48920","UC","246623_at"
"2565","AT1G48930","UC","260758_at"
"2566","AT1G48940","MC","260757_at"
"2567","AT1G48950","MC","260764_at"
"2568","AT1G48960","MC","260766_at"
"2569","AT1G48970","UC","260756_at"
"2570","AT1G48980","MC","260755_at"
"2571","AT1G49000","MC","260754_at"
"2572","AT1G49010","MC","260769_at"
"2573","AT1G49030","MC","260752_at"
"2574","AT1G49040","MC","260751_at"
"2575","AT1G49050","MC","260772_at"
"2576","AT1G49160","MC","260771_at"
"2577","AT1G49170","UC","260760_at"
"2578","AT1G49180","MC","260759_at"
"2579","AT1G49190","MC","257492_at"
"2580","AT1G49200","MC","260770_at"
"2581","AT1G49210","MC","260748_at"
"2582","AT1G49220","MC","260763_at"
"2583","AT1G49230","MC","260753_at"
"2584","AT1G49240","UC","260765_at"
"2585","AT1G49245","MC","260768_at"
"2586","AT1G49250","UC","262447_at"
"2587","AT1G49270","MC","262389_at"
"2588","AT1G49290","MC","257469_at"
"2589","AT1G49310","MC","262446_at"
"2590","AT1G49320","MC","262388_at"
"2591","AT1G49350","UC","262398_at"
"2592","AT1G49380","UC","262397_at"
"2593","AT1G49390","MC","262416_at"
"2594","AT1G49400","UC","262415_at"
"2595","AT1G49410","MC","262402_at"
"2596","AT1G49430","UC","262414_at"
"2597","AT1G49470","MC","262396_at"
"2598","AT1G49480","MC","262400_at"
"2599","AT1G49510","MC","262394_at"
"2600","AT1G49520","UC","262392_at"
"2601","AT1G49530","UC","262391_at"
"2602","AT1G49540","UC","262395_at"
"2603","AT1G49560","MC","261610_at"
"2604","AT1G49570","MC","261606_at"
"2605","AT1G49580","MC","261605_at"
"2606","AT1G49590","MC","261604_at"
"2607","AT1G49600","UC","261603_at"
"2608","AT1G49620","MC","257483_at"
"2609","AT1G49630","UC","261602_at"
"2610","AT1G49650","MC","261608_at"
"2611","AT1G49660","MC","261607_at"
"2612","AT1G49670","UC","261601_at"
"2613","AT1G49700","MC","261599_at"
"2614","AT1G49710","MC","261612_at"
"2615","AT1G49720","MC","261613_at"
"2616","AT1G49730","MC","261611_at"
"2617","AT1G49740","MC","261609_at"
"2618","AT1G49750","MC","261598_at"
"2619","AT1G49760","UC","261614_at"
"2620","AT1G49780","MC","261597_at"
"2621","AT1G49790","MC","259808_at"
"2622","AT1G49800","MC","259809_at"
"2623","AT1G49810","MC","259810_at"
"2624","AT1G49820","UC","259819_at"
"2625","AT1G49830","MC","259811_at"
"2626","AT1G49840","MC","259812_at"
"2627","AT1G49850","MC","259816_at"
"2628","AT1G49860","UC","259813_at"
"2629","AT1G49870","MC","259815_at"
"2630","AT1G49880","MC","259817_at"
"2631","AT1G49890","MC","259818_at"
"2632","AT1G49900","MC","259814_at"
"2633","AT1G49910","UC","245814_at"
"2634","AT1G49950","MC","261637_at"
"2635","AT1G49960","UC","261640_at"
"2636","AT1G49970","MC","261634_at"
"2637","AT1G49975","MC","261638_at"
"2638","AT1G49980","UC","261629_at"
"2639","AT1G50000","UC","261628_at"
"2640","AT1G50010","UC","261639_at"
"2641","AT1G50020","MC","261635_at"
"2642","AT1G50030","UC","261659_at"
"2643","AT1G50040","MC","261658_at"
"2644","AT1G50050","MC","261657_at"
"2645","AT1G50060","MC","261691_at"
"2646","AT1G50090","UC","261690_at"
"2647","AT1G50110","UC","261636_at"
"2648","AT1G50120","MC","261632_at"
"2649","AT1G50140","MC","261689_at"
"2650","AT1G50140","MC","262471_at"
"2651","AT1G50160","MC","262472_at"
"2652","AT1G50170","MC","262417_at"
"2653","AT1G50180","MC","262470_at"
"2654","AT1G50200","UC","262468_at"
"2655","AT1G50240","MC","262474_at"
"2656","AT1G50240","MC","262467_at"
"2657","AT1G50250","UC","262473_at"
"2658","AT1G50270","MC","262465_at"
"2659","AT1G50280","MC","262464_at"
"2660","AT1G50300","UC","262420_at"
"2661","AT1G50310","UC","262463_at"
"2662","AT1G50320","MC","262418_at"
"2663","AT1G50340","MC","262475_at"
"2664","AT1G50350","MC","262462_at"
"2665","AT1G50360","UC","262461_at"
"2666","AT1G50370","UC","262476_at"
"2667","AT1G50380","UC","262419_at"
"2668","AT1G50400","UC","262459_at"
"2669","AT1G50410","MC","261862_at"
"2670","AT1G50420","MC","261866_at"
"2671","AT1G50430","UC","261865_at"
"2672","AT1G50440","MC","261852_at"
"2673","AT1G50450","UC","261861_at"
"2674","AT1G50460","UC","261851_at"
"2675","AT1G50490","UC","261859_at"
"2676","AT1G50500","UC","261880_at"
"2677","AT1G50560","UC","261878_at"
"2678","AT1G50580","MC","261877_at"
"2679","AT1G50590","UC","261876_at"
"2680","AT1G50600","MC","261860_at"
"2681","AT1G50610","MC","261875_at"
"2682","AT1G50620","MC","261857_at"
"2683","AT1G50630","MC","261863_at"
"2684","AT1G50640","MC","261874_at"
"2685","AT1G50650","MC","261908_at"
"2686","AT1G50660","MC","261853_at"
"2687","AT1G50670","UC","261854_at"
"2688","AT1G50700","UC","256405_at"
"2689","AT1G50740","UC","246631_at"
"2690","AT1G50840","UC","256204_at"
"2691","AT1G50890","UC","256205_at"
"2692","AT1G50900","MC","256215_at"
"2693","AT1G50910","MC","256206_at"
"2694","AT1G50920","UC","256207_at"
"2695","AT1G50930","MC","256208_at"
"2696","AT1G50940","UC","256209_at"
"2697","AT1G50950","UC","256210_at"
"2698","AT1G50960","MC","256211_at"
"2699","AT1G50970","MC","256212_at"
"2700","AT1G50990","MC","256213_at"
"2701","AT1G51000","MC","256214_x_at"
"2702","AT1G51060","UC","245750_at"
"2703","AT1G51070","MC","245746_at"
"2704","AT1G51080","MC","245743_at"
"2705","AT1G51090","MC","245749_at"
"2706","AT1G51100","MC","245747_at"
"2707","AT1G51110","MC","245745_at"
"2708","AT1G51110","MC","245744_at"
"2709","AT1G51140","MC","245748_at"
"2710","AT1G51160","UC","265148_at"
"2711","AT1G51170","MC","265144_at"
"2712","AT1G51190","MC","265145_at"
"2713","AT1G51200","UC","265150_at"
"2714","AT1G51210","MC","265146_at"
"2715","AT1G51260","UC","265134_at"
"2716","AT1G51310","UC","265139_at"
"2717","AT1G51320","MC","265140_at"
"2718","AT1G51340","UC","265151_at"
"2719","AT1G51350","UC","265141_at"
"2720","AT1G51360","MC","265142_at"
"2721","AT1G51380","UC","265147_at"
"2722","AT1G51400","MC","265149_at"
"2723","AT1G51420","MC","260517_at"
"2724","AT1G51440","MC","260491_at"
"2725","AT1G51450","MC","260516_at"
"2726","AT1G51460","UC","260515_at"
"2727","AT1G51480","MC","260514_at"
"2728","AT1G51490","UC","260513_at"
"2729","AT1G51500","UC","260490_at"
"2730","AT1G51510","MC","260487_at"
"2731","AT1G51520","MC","260512_at"
"2732","AT1G51550","MC","260486_at"
"2733","AT1G51570","MC","260511_at"
"2734","AT1G51580","MC","260510_at"
"2735","AT1G51590","UC","260520_at"
"2736","AT1G51600","MC","260488_at"
"2737","AT1G51610","UC","260489_at"
"2738","AT1G51620","MC","256177_at"
"2739","AT1G51640","MC","256176_at"
"2740","AT1G51650","UC","256184_at"
"2741","AT1G51660","UC","256183_at"
"2742","AT1G51670","MC","256175_at"
"2743","AT1G51680","UC","256186_at"
"2744","AT1G51690","UC","256187_at"
"2745","AT1G51700","MC","256185_at"
"2746","AT1G51710","UC","256179_at"
"2747","AT1G51720","UC","256174_at"
"2748","AT1G51730","UC","256173_at"
"2749","AT1G51740","UC","256182_at"
"2750","AT1G51820","MC","256181_at"
"2751","AT1G51900","MC","246372_at"
"2752","AT1G51915","MC","246349_at"
"2753","AT1G51920","MC","246370_at"
"2754","AT1G51940","MC","246371_at"
"2755","AT1G51950","MC","246376_at"
"2756","AT1G51960","MC","265047_at"
"2757","AT1G51980","UC","265056_at"
"2758","AT1G52050","MC","265048_at"
"2759","AT1G52060","MC","265049_at"
"2760","AT1G52070","MC","265050_at"
"2761","AT1G52080","MC","265059_at"
"2762","AT1G52140","MC","265057_at"
"2763","AT1G52150","MC","265060_at"
"2764","AT1G52160","UC","259835_at"
"2765","AT1G52190","UC","259839_at"
"2766","AT1G52200","MC","259841_at"
"2767","AT1G52220","MC","259838_at"
"2768","AT1G52230","UC","259840_at"
"2769","AT1G52240","MC","257504_at"
"2770","AT1G52240","MC","259836_at"
"2771","AT1G52260","UC","259637_at"
"2772","AT1G52280","UC","259611_at"
"2773","AT1G52290","MC","259671_at"
"2774","AT1G52300","UC","259612_at"
"2775","AT1G52310","MC","259670_at"
"2776","AT1G52320","MC","259610_at"
"2777","AT1G52340","UC","259669_at"
"2778","AT1G52360","UC","259638_at"
"2779","AT1G52380","UC","259639_at"
"2780","AT1G52390","MC","259668_at"
"2781","AT1G52400","UC","259640_at"
"2782","AT1G52410","MC","259609_at"
"2783","AT1G52420","MC","262155_at"
"2784","AT1G52470","MC","262140_at"
"2785","AT1G52510","UC","262151_at"
"2786","AT1G52530","UC","262149_at"
"2787","AT1G52540","MC","262158_at"
"2788","AT1G52550","MC","262127_at"
"2789","AT1G52560","MC","262148_at"
"2790","AT1G52570","UC","262147_at"
"2791","AT1G52580","MC","262146_at"
"2792","AT1G52590","UC","262160_at"
"2793","AT1G52600","UC","262161_at"
"2794","AT1G52620","MC","262144_at"
"2795","AT1G52630","MC","262143_at"
"2796","AT1G52640","MC","262142_at"
"2797","AT1G52660","MC","262138_at"
"2798","AT1G52670","MC","262157_at"
"2799","AT1G52680","MC","262156_at"
"2800","AT1G52690","MC","262128_at"
"2801","AT1G52700","UC","262154_at"
"2802","AT1G52720","MC","262159_at"
"2803","AT1G52730","UC","262145_at"
"2804","AT1G52740","UC","260154_at"
"2805","AT1G52760","MC","260153_at"
"2806","AT1G52770","MC","260146_at"
"2807","AT1G52830","MC","260152_at"
"2808","AT1G52870","MC","260155_at"
"2809","AT1G52880","MC","260156_at"
"2810","AT1G52890","MC","260203_at"
"2811","AT1G52900","MC","260204_at"
"2812","AT1G52910","MC","260151_at"
"2813","AT1G52920","UC","260145_at"
"2814","AT1G52930","UC","260157_at"
"2815","AT1G52950","MC","261342_at"
"2816","AT1G52970","MC","261313_at"
"2817","AT1G52980","UC","261314_at"
"2818","AT1G53000","UC","261373_at"
"2819","AT1G53010","MC","261372_at"
"2820","AT1G53030","UC","261317_at"
"2821","AT1G53035","MC","261318_at"
"2822","AT1G53060","MC","261369_at"
"2823","AT1G53070","MC","261368_at"
"2824","AT1G53080","MC","261367_at"
"2825","AT1G53090","MC","261319_at"
"2826","AT1G53100","MC","261366_at"
"2827","AT1G53140","UC","261364_at"
"2828","AT1G53160","MC","261375_at"
"2829","AT1G53165","MC","261316_at"
"2830","AT1G53170","MC","261315_at"
"2831","AT1G53180","MC","260639_at"
"2832","AT1G53200","MC","260641_at"
"2833","AT1G53210","UC","260587_at"
"2834","AT1G53230","MC","260618_at"
"2835","AT1G53240","UC","260615_at"
"2836","AT1G53260","MC","260642_at"
"2837","AT1G53270","UC","260643_at"
"2838","AT1G53280","MC","260616_at"
"2839","AT1G53290","UC","260644_at"
"2840","AT1G53300","MC","260645_at"
"2841","AT1G53310","UC","260590_at"
"2842","AT1G53320","MC","260588_at"
"2843","AT1G53325","MC","260591_at"
"2844","AT1G53345","UC","260617_at"
"2845","AT1G53350","MC","260640_at"
"2846","AT1G53360","MC","260612_at"
"2847","AT1G53380","MC","260613_at"
"2848","AT1G53390","UC","260614_at"
"2849","AT1G53400","UC","260589_at"
"2850","AT1G53420","MC","260977_at"
"2851","AT1G53440","MC","260974_at"
"2852","AT1G53450","MC","260989_at"
"2853","AT1G53460","MC","260981_at"
"2854","AT1G53490","MC","260973_at"
"2855","AT1G53500","UC","260985_at"
"2856","AT1G53510","MC","260979_at"
"2857","AT1G53520","MC","260982_at"
"2858","AT1G53530","UC","260972_at"
"2859","AT1G53540","UC","260978_at"
"2860","AT1G53560","MC","260983_at"
"2861","AT1G53570","MC","260988_at"
"2862","AT1G53580","UC","260986_at"
"2863","AT1G53590","MC","260987_at"
"2864","AT1G53640","MC","260970_at"
"2865","AT1G53645","MC","260984_at"
"2866","AT1G53660","UC","259963_at"
"2867","AT1G53670","MC","259965_at"
"2868","AT1G53680","MC","259964_at"
"2869","AT1G53700","MC","259961_at"
"2870","AT1G53710","UC","259960_at"
"2871","AT1G53720","MC","259959_at"
"2872","AT1G53730","MC","259958_at"
"2873","AT1G53760","MC","262251_at"
"2874","AT1G53770","MC","257470_at"
"2875","AT1G53790","MC","262255_at"
"2876","AT1G53800","MC","262199_at"
"2877","AT1G53820","MC","262252_at"
"2878","AT1G53830","MC","262198_at"
"2879","AT1G53840","MC","262225_at"
"2880","AT1G53850","UC","262258_at"
"2881","AT1G53860","MC","262257_at"
"2882","AT1G53910","MC","262197_at"
"2883","AT1G53920","MC","262254_at"
"2884","AT1G53930","MC","263197_at"
"2885","AT1G53940","MC","263146_at"
"2886","AT1G53980","MC","263147_at"
"2887","AT1G53990","MC","263198_at"
"2888","AT1G54020","MC","263161_at"
"2889","AT1G54030","MC","263156_at"
"2890","AT1G54040","UC","263174_at"
"2891","AT1G54050","MC","263150_at"
"2892","AT1G54060","MC","263152_at"
"2893","AT1G54070","MC","263144_at"
"2894","AT1G54080","UC","263160_at"
"2895","AT1G54090","MC","263145_at"
"2896","AT1G54100","UC","263157_at"
"2897","AT1G54110","MC","263154_at"
"2898","AT1G54115","UC","263171_at"
"2899","AT1G54120","MC","263151_at"
"2900","AT1G54130","MC","263159_at"
"2901","AT1G54140","MC","263155_at"
"2902","AT1G54150","MC","263162_at"
"2903","AT1G54160","MC","263158_at"
"2904","AT1G54170","UC","263172_at"
"2905","AT1G54180","MC","263173_at"
"2906","AT1G54200","MC","263002_at"
"2907","AT1G54210","UC","262992_at"
"2908","AT1G54220","UC","262963_at"
"2909","AT1G54230","MC","262993_at"
"2910","AT1G54240","MC","263006_at"
"2911","AT1G54260","MC","263007_at"
"2912","AT1G54270","UC","262956_at"
"2913","AT1G54280","UC","262998_at"
"2914","AT1G54290","UC","262959_at"
"2915","AT1G54310","UC","262965_at"
"2916","AT1G54320","UC","262960_at"
"2917","AT1G54330","MC","262999_at"
"2918","AT1G54340","UC","262962_at"
"2919","AT1G54350","UC","263000_at"
"2920","AT1G54360","UC","263001_at"
"2921","AT1G54370","UC","263009_at"
"2922","AT1G54380","MC","262964_at"
"2923","AT1G54390","MC","262982_at"
"2924","AT1G54410","MC","262958_at"
"2925","AT1G54440","MC","262996_at"
"2926","AT1G54450","UC","263003_at"
"2927","AT1G54460","MC","262984_at"
"2928","AT1G54500","MC","262954_at"
"2929","AT1G54510","MC","263004_at"
"2930","AT1G54520","UC","262955_at"
"2931","AT1G54540","MC","263005_at"
"2932","AT1G54570","UC","264186_at"
"2933","AT1G54640","MC","264242_at"
"2934","AT1G54650","UC","264243_at"
"2935","AT1G54680","MC","264236_at"
"2936","AT1G54690","UC","264188_at"
"2937","AT1G54710","MC","264192_at"
"2938","AT1G54730","UC","264191_at"
"2939","AT1G54740","MC","264238_at"
"2940","AT1G54770","MC","264239_at"
"2941","AT1G54780","UC","264185_at"
"2942","AT1G54790","MC","264184_at"
"2943","AT1G54820","MC","264240_at"
"2944","AT1G54830","MC","264190_at"
"2945","AT1G54840","MC","264241_at"
"2946","AT1G54850","MC","257426_at"
"2947","AT1G54860","MC","264187_at"
"2948","AT1G54870","UC","256354_at"
"2949","AT1G54920","MC","256323_at"
"2950","AT1G54940","MC","256350_at"
"2951","AT1G54960","MC","256351_at"
"2952","AT1G54970","MC","256352_at"
"2953","AT1G54990","MC","256322_at"
"2954","AT1G55000","UC","256353_at"
"2955","AT1G55020","MC","256321_at"
"2956","AT1G55030","MC","256345_at"
"2957","AT1G55040","MC","256355_at"
"2958","AT1G55050","MC","257589_at"
"2959","AT1G55080","MC","256147_at"
"2960","AT1G55090","UC","256148_at"
"2961","AT1G55110","MC","256149_at"
"2962","AT1G55120","UC","256150_at"
"2963","AT1G55130","UC","256151_at"
"2964","AT1G55150","UC","256152_at"
"2965","AT1G55160","MC","259665_at"
"2966","AT1G55170","MC","259659_at"
"2967","AT1G55180","UC","259657_at"
"2968","AT1G55190","UC","259663_at"
"2969","AT1G55200","MC","259656_at"
"2970","AT1G55210","MC","259655_at"
"2971","AT1G55240","MC","259653_at"
"2972","AT1G55250","UC","259662_at"
"2973","AT1G55250","UC","259652_at"
"2974","AT1G55260","MC","259660_at"
"2975","AT1G55265","MC","259661_at"
"2976","AT1G55270","MC","259667_at"
"2977","AT1G55280","MC","259651_at"
"2978","AT1G55300","UC","259649_at"
"2979","AT1G55310","MC","259666_at"
"2980","AT1G55325","MC","259647_at"
"2981","AT1G55330","MC","259664_at"
"2982","AT1G55350","MC","259646_at"
"2983","AT1G55360","UC","257510_at"
"2984","AT1G55370","MC","259658_at"
"2985","AT1G55450","UC","265075_at"
"2986","AT1G55460","UC","265079_at"
"2987","AT1G55480","UC","265073_at"
"2988","AT1G55490","UC","265076_at"
"2989","AT1G55500","MC","265078_at"
"2990","AT1G55510","UC","265070_at"
"2991","AT1G55520","UC","265071_at"
"2992","AT1G55530","MC","265077_at"
"2993","AT1G55540","UC","265074_at"
"2994","AT1G55540","UC","265069_at"
"2995","AT1G55550","MC","265068_at"
"2996","AT1G55560","MC","265127_at"
