"","probe_id","Gene.symbol.x","AGI","logFC.GV","logFC.C58","age"
"327","259520_at","AT1G12320","AT1G12320",-0.36352333,-0.558,"MC"
"328","259548_at","MLP165","AT1G35260",0.45388333,0.457,"MC"
"329","259549_at","AT1G35290","AT1G35290",-0.26509667,-0.353,"MC"
"330","259570_at","COR47","AT1G20440",-0.37763333,-0.516,"MC"
"331","259592_at","LTPG1","AT1G27950",-0.23361667,0.461,"MC"
"332","259596_at","GH3.17","AT1G28130",1.02419,0.82,"UC"
"333","259612_at","AT1G52300","AT1G52300",0.30553333,0.738,"UC"
"334","259735_at","AT1G64405","AT1G64405",0.54655,0.61,"MC"
"335","259751_at","MYBL2","AT1G71030",-0.27624,-0.571,"MC"
"336","259766_at","AT1G64360","AT1G64360",-0.44193,-0.611,"MC"
"337","259841_at","AT1G52200","AT1G52200",0.73328333,0.287,"MC"
"338","259925_at","PR5","AT1G75040",0.52466,1.42,"UC"
"339","259976_at","CP12-3","AT1G76560",-0.24342333,-0.726,"MC"
"340","259977_at","AT1G76590","AT1G76590",-0.44391333,-1.27,"MC"
"341","259982_at","ATL8","AT1G76410",-0.27654333,-0.726,"MC"
"342","259990_s_at","FKF1","AT1G68050",-0.57126333,-0.557,"MC"
"343","260015_at","CCOAMT","AT1G67980",1.28102667,0.756,"UC"
"344","260046_at","AT1G73805","AT1G73805",-0.22220333,-0.277,"MC"
"345","260048_at","AT1G73750","AT1G73750",-0.37451,-0.981,"MC"
"346","260095_at","AT1G73230","AT1G73230",0.30107333,0.71,"UC"
"347","260155_at","AT1G52870","AT1G52870",-0.22564667,-0.578,"MC"
"348","260181_at","GH9B1","AT1G70710",0.5216,0.591,"UC"
"349","260203_at","NAC019","AT1G52890",-0.78846,-0.876,"MC"
"350","260267_at","KCS6","AT1G68530",-0.21768333,-0.387,"UC"
"351","260274_at","NHO1","AT1G80460",0.32035667,0.221,"UC"
"352","260287_at","AT1G80440","AT1G80440",-0.45375,-1.74,"MC"
"353","260335_at","SS3","AT1G74000",-0.41405333,-0.485,"MC"
"354","260394_at","MYB122","AT1G74080",0.36397333,0.349,"MC"
"355","260406_at","GSTU12","AT1G69920",0.57072667,0.448,"MC"
"356","260495_at","AT2G41810","AT2G41810",0.40671333,0.365,"MC"
"357","260508_at","GAMMA CA2","AT1G47260",0.18654667,0.413,"UC"
"358","260551_at","TI1","AT2G43510",0.7314,0.478,"MC"
"359","260556_at","AT2G43620","AT2G43620",1.72048333,1.59,"UC"
"360","260557_at","AT2G43610","AT2G43610",2.61963667,2.1,"UC"
"361","260560_at","AT2G43590","AT2G43590",0.34806333,1.27,"UC"
"362","260568_at","CHI","AT2G43570",1.50637333,1.77,"UC"
"363","260582_at","AT2G47200","AT2G47200",-0.51797,-1.25,"MC"
"364","260592_at","CSLE1","AT1G55850",0.61499333,0.471,"MC"
"365","260602_at","SERAT2;1","AT1G55920",0.38963667,0.54,"UC"
"366","260636_at","CDS1","AT1G62430",-0.25721,-0.479,"UC"
"367","260653_at","PKp3","AT1G32440",-0.17357333,-0.177,"UC"
"368","260663_at","NFD5","AT1G19520",0.17975667,0.507,"MC"
"369","260683_at","HLL","AT1G17560",0.21492333,0.458,"UC"
"370","260714_at","CPN10","AT1G14980",0.34159333,0.961,"UC"
"371","260746_at","GSTU19","AT1G78380",0.2783,0.284,"MC"
"372","260753_at","AT1G49230","AT1G49230",-0.43910667,-0.775,"MC"
"373","260784_at","MYB13","AT1G06180",0.33613667,0.422,"MC"
"374","260804_at","AT1G78410","AT1G78410",0.52341667,0.401,"MC"
"375","260882_at","WRKY65","AT1G29280",0.56718333,0.75,"MC"
"376","260895_at","AT1G29250","AT1G29250",0.24475333,0.883,"UC"
"377","260903_at","AT1G02460","AT1G02460",-0.29641,-0.477,"MC"
"378","260910_at","IMPA-6","AT1G02690",0.21361333,0.576,"UC"
"379","260915_at","AT1G02660","AT1G02660",-0.28493667,-0.489,"MC"
"380","261000_at","AT1G26540","AT1G26540",0.18716333,0.387,"MC"
"381","261005_at","AT1G26420","AT1G26420",0.95163667,0.58,"UC"
"382","261075_at","AT1G07280","AT1G07280",-0.29376333,-0.843,"MC"
